numero_dpe,date_etablissement_dpe,methode_application_dpe,etiquette_dpe,type_batiment,periode_construction,zone_climatique,code_insee_ban,typologie_logement,nombre_niveau_immeuble,nombre_niveau_logement,nombre_appartement,type_energie_principale_chauffage,type_energie_principale_ecs,type_ventilation,conso_5_usages_par_m2_ep,emission_ges_5_usages_par_m2,cout_chauffage,cout_ecs,cout_total_5_usages,surface_habitable_logement,surface_habitable_immeuble
2271E2214732U,2022-09-27,dpe appartement individuel,E,appartement,1948-1974,H1c,71076,,,1,1,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit avec entrées d'air hygro,293.1,64,2434.9,180.2,2800.6,128.7,
2244E2582145A,2022-11-02,dpe maison individuelle,D,maison,1989-2000,H2b,44084,,,2,,Gaz naturel,Gaz naturel,VMC SF Auto réglable de 1982 à 2000,161.2,32,783.5,165.8,1213.4,79,
2278E2135979C,2022-08-31,dpe appartement individuel,D,appartement,1989-2000,H1a,78361,,,5,10,Réseau de Chauffage urbain,Réseau de Chauffage urbain,Ventilation naturelle par conduit,192.4,19.8,581,537,1210,77,500
2226E2248144D,2022-09-29,dpe appartement individuel,E,appartement,avant 1948,H2d,26362,,,1,1,Gaz naturel,Gaz naturel,Ventilation par entrées d'air hautes et basses,315.5,69,844.5,140.7,1051,38,
2277E3012549H,2022-11-22,dpe maison individuelle,E,maison,1948-1974,H1a,77415,,,3,,Gaz naturel,Gaz naturel,Ventilation par ouverture des fenêtres,274.5,44.8,986,199,1273,65,
2259E2173445J,2022-09-22,dpe appartement individuel,E,appartement,1989-2000,H1a,59599,,,1,1,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,270.8,10,460.6,270.6,777.8,30.3,
2294E2002024P,2022-09-05,dpe appartement individuel,C,appartement,1948-1974,H1a,94034,,,1,1,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,161.7,6,597.7,315,1009.1,68.1,2513
2259E2728624K,2022-11-17,dpe appartement individuel,D,appartement,1983-1988,H1a,59512,,,4,1,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,206.4,8,818.6,370.6,1290.6,70,7000
2215E2918411F,2022-12-05,dpe appartement individuel,C,appartement,avant 1948,H1c,15008,,,2,1,Bois – Granulés (pellets) ou briquettes,Électricité,Ventilation par ouverture des fenêtres,142.3,4,301.5,415.6,742,63,63
2238E3007705M,2022-12-12,dpe appartement individuel,E,appartement,1948-1974,H1c,38185,,,1,72,Gaz naturel,Gaz naturel,Ventilation par entrées d'air hautes et basses,297.4,65.4,544,418,1030,42.6,3000
2269E3062543V,2022-12-16,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1c,69199,,4,1,80,Gaz naturel,Gaz naturel,VMC SF Hygro B après 2012,124.9,25,351.4,215.5,664.1,68,4976
2221E3185622U,2022-12-29,dpe appartement individuel,D,appartement,1989-2000,H1c,21231,,,1,,Gaz naturel,Gaz naturel,VMC SF Auto réglable de 1982 à 2000,209,43.1,691,175,1045,52.2,
2292E2613111W,2022-11-04,dpe appartement individuel,G,appartement,avant 1948,H1a,92004,,,1,1,Électricité,Électricité,VMC SF Auto réglable après 2012,591.5,23,840.7,233.5,1090.9,20.4,
2275E1843030S,2022-08-12,dpe appartement individuel,G,appartement,avant 1948,H1a,75106,,,1,1,Électricité,GPL,Ventilation naturelle par conduit,733,47,1761.3,317.7,2089,30.7,
2256E2786230X,2022-11-22,dpe appartement individuel,B,appartement,1975-1977,H2a,56260,,5,5,,Électricité,Électricité,VMC SF Auto réglable de 2001 à 2012,105.2,3.8,349,471,957,99,
2231E1906714K,2022-08-24,dpe maison individuelle,C,maison,2006-2012,H2c,31033,,,2,,Gaz naturel,Gaz naturel,VMC SF Hygro B de 2001 à 2012,136.3,27.6,747,168,1145,88,
2269E2881152G,2022-11-30,dpe appartement individuel,E,appartement,avant 1948,H1c,69382,,,1,1,Électricité,Électricité,Ventilation par entrées d'air hautes et basses,320.8,12,1367.5,302.3,1688.5,60,
2234E1684511G,2022-07-23,dpe appartement individuel,C,appartement,1948-1974,H3,34129,,,1,1,Électricité,Électricité,VMC SF Auto réglable après 2012,142.5,5,808.8,364.3,1407.6,111.3,
2262E1744099E,2022-07-29,dpe maison individuelle,A,maison,2013-2021,H1a,62032,,,2,,Électricité,Électricité,VMC SF Hygro B après 2012,46.4,1.8,398,136,642,140,
2204E3202924P,2022-12-21,dpe maison individuelle,B,maison,1948-1974,H2d,04138,,,1,,Électricité,Électricité,VMC SF Auto réglable après 2012,94.5,3.5,330,334,791,88.6,
2291E3039451N,2022-12-14,dpe maison individuelle,D,maison,1948-1974,H1a,91645,,,2,,Gaz naturel,Gaz naturel,Ventilation par entrées d'air hautes et basses,213.1,45,1703.6,157.3,2120.2,125.1,
2277E2389362O,2022-10-13,dpe appartement généré à partir des données DPE immeuble,D,appartement,1948-1974,H1a,77288,,4,1,50,Gaz naturel,Gaz naturel,VMC SF Auto réglable avant 1982,199.1,41,475,394.5,1104.2,78,3560
2294E1869181G,2022-08-18,dpe appartement individuel,E,appartement,avant 1948,H1a,94058,,,1,,Électricité,Électricité,Ventilation par ouverture des fenêtres,268.3,10.5,581,229,821,32.6,
2227E1870386A,2022-08-12,dpe maison individuelle,E,maison,1948-1974,H1a,27384,,,2,,Électricité,Électricité,Ventilation mécanique sur conduit existant avant 2013,292.9,11,1266,294,1678,74,
2287E2330014I,2022-10-07,dpe maison individuelle,E,maison,avant 1948,H1c,87085,,,2,,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit,264.1,58.3,1836,165,2133,105.9,
2221E2046217N,2022-09-09,dpe appartement individuel,C,appartement,2006-2012,H1c,21515,,2,2,,Gaz naturel,Électricité,VMC SF Auto réglable de 2001 à 2012,145.5,16.8,440,418,990,64,
2260E1514737M,2022-07-04,dpe appartement individuel,E,appartement,avant 1948,H1a,60471,,,1,1,Gaz naturel,Gaz naturel,Ventilation par ouverture des fenêtres,230.9,50,642.3,158.5,877.1,40,
2242E3073613O,2022-12-16,dpe appartement individuel,D,appartement,1975-1977,H1c,42218,,,1,1,Gaz naturel,Gaz naturel,VMC SF Auto réglable après 2012,179.7,36.3,670,125,1084,81.8,7794
2213E2275731R,2022-10-03,dpe appartement individuel,B,appartement,avant 1948,H3,13208,,,1,1,Électricité,Électricité,Ventilation par ouverture des fenêtres,98,3,572.8,385,1097.5,123.6,
2276E2007555Q,2022-09-06,dpe maison individuelle,E,maison,1978-1982,H1a,76224,,,2,,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,278.4,11,1816.4,345.4,2284.7,95,
2244E2696805A,2022-11-15,dpe appartement individuel,C,appartement,1978-1982,H2b,44109,,,1,1,Gaz naturel,Gaz naturel,VMC SF Hygro A après 2012,72.7,14,358.1,205.6,725.4,84.8,
2271E1778189R,2022-08-03,dpe maison individuelle,G,maison,avant 1948,H1c,71416,,,1,,Fioul domestique,Électricité,Ventilation par ouverture des fenêtres,475.1,84,2017.9,389.1,2432.2,62,
2249E2577622G,2022-11-02,dpe maison individuelle,C,maison,2006-2012,H2b,49021,,,2,,Électricité,Électricité,VMC SF Hygro A de 2001 à 2012,177,6.6,1083,378,1569,105,
2243E2862328G,2022-11-29,dpe appartement individuel,E,appartement,avant 1948,H1c,43268,,,1,,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,292,11.5,1157,337,1581,61.5,
2234E2893841Y,2022-12-01,dpe appartement individuel,C,appartement,2006-2012,H3,34172,,,1,70,Électricité,Électricité,VMC SF Auto réglable de 2001 à 2012,141.4,5.3,280,154,496,31.3,2200
2243E2222128E,2022-09-27,dpe appartement généré à partir des données DPE immeuble,D,appartement,1975-1977,H1c,43224,,4,1,16,Gaz naturel,Gaz naturel,VMC SF Auto réglable après 2012,175.7,37,730.5,276.9,1134.2,72.4,1075
2213E2971916A,2022-12-08,dpe appartement généré à partir des données DPE immeuble,C,appartement,2013-2021,H3,13204,,9,1,247,Gaz naturel,Gaz naturel,VMC SF Hygro B après 2012,112.2,23,98,95.7,226.1,30.6,12199.2
2275E1590194G,2022-07-12,dpe appartement individuel,F,appartement,1948-1974,H1a,75112,,,1,1,Gaz naturel,Gaz naturel,VMC SF Auto réglable avant 1982,404.2,84,139.4,226.5,441,16.2,3538
2251E1857698Y,2022-08-17,dpe maison individuelle,D,maison,1978-1982,H1b,51454,,,2,,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,229.3,9.1,1646,364,2136,106,
2291E2990262Q,2022-12-10,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1a,91201,,8,1,64,Réseau de Chauffage urbain,Électricité,Ventilation hybride après 2012,123.1,6,448.7,351.6,868.3,75.4,5386.6
2243E2316255L,2022-10-06,dpe appartement généré à partir des données DPE immeuble,D,appartement,1948-1974,H1c,43046,,4,1,8,Gaz naturel,Gaz naturel,VMC SF Auto réglable de 1982 à 2000,187.6,38,903.6,201.3,1376.2,80.8,593
2289E2578224Y,2022-11-02,dpe appartement individuel,C,appartement,1989-2000,H1b,89024,,,1,1,Gaz naturel,Gaz naturel,VMC SF Hygro A avant 2001,80.5,14,394.4,198.1,847.7,89.6,
2262E2262170Z,2022-09-30,dpe appartement individuel,C,appartement,1948-1974,H1a,62193,,,3,,Électricité,Électricité,VMC SF Hygro A de 2001 à 2012,174.5,6.5,242,276,566,31.8,
2292E2958688H,2022-12-07,dpe appartement généré à partir des données DPE immeuble,F,appartement,avant 1948,H1a,92012,,7,1,213,Gaz naturel,Électricité,VMC SF Auto réglable de 1982 à 2000,408.8,72,714.5,342.6,1162.4,38,7275
2295E3205696S,2022-09-19,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1a,95680,T4,5,1,69,Réseau de Chauffage urbain,Réseau de Chauffage urbain,VMC SF Auto réglable après 2012,138.6,11.6,390.8,207.1,707.8,60,4300.2
2213E2137265B,2022-09-19,dpe maison individuelle,C,maison,avant 1948,H3,13204,,,1,,Électricité,Électricité,Ventilation naturelle par conduit,142.4,5,349.7,228.3,602.1,42.2,
2275E2516966I,2022-10-26,dpe appartement individuel,E,appartement,avant 1948,H1a,75118,,,1,1,Électricité,Électricité,Ventilation par ouverture des fenêtres,293.7,11,531.8,260.8,802.4,29,
2262E1582594L,2022-07-11,dpe appartement individuel,E,appartement,avant 1948,H1a,62160,,,3,1,Électricité,Électricité,Ventilation par ouverture des fenêtres,328.4,13,1435.3,311.2,1765.8,61.5,
2211E2451531D,2022-10-19,dpe maison individuelle,E,maison,avant 1948,H3,11194,,,2,,Gaz naturel,Gaz naturel,Ventilation par ouverture des fenêtres,281.3,43,1299,139.2,1539,82,
2216E2077598H,2022-09-12,dpe maison individuelle,D,maison,1975-1977,H2b,16131,,,2,,Électricité,Électricité,Ventilation par ouverture des fenêtres,208.4,8,2101.7,401.1,2547.6,142,
2228E3201019G,2022-11-30,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1a,28229,T3,3,1,12,Gaz naturel,Gaz naturel,VMC SF Hygro B après 2012,127.3,26.2,315.5,152,545.2,37,546
2267E2837041P,2022-11-27,dpe appartement individuel,C,appartement,1989-2000,H1b,67482,,,1,1,Électricité,Électricité,VMC SF Hygro A avant 2001,174.3,6,301.1,254.8,608,34.9,
2233E2137855N,2022-09-19,dpe maison individuelle,D,maison,avant 1948,H2c,33063,,,2,,Gaz naturel,Gaz naturel,Ventilation par ouverture des fenêtres,158.2,34,753.2,144.4,985.2,68.2,
2275E2518316G,2022-10-26,dpe appartement individuel,C,appartement,avant 1948,H1a,75108,,,1,1,Gaz naturel,Gaz naturel,VMC SF Auto réglable après 2012,139.4,28,733.2,157.1,1139.1,115.3,2278
2224E2051285O,2022-09-09,dpe maison individuelle,D,maison,1989-2000,H2c,24026,,,1,,Électricité,GPL,Ventilation par entrées d'air hautes et basses,200.6,14,1074.2,273.4,1371.4,70,
2258E1845805U,2022-08-13,dpe appartement individuel,G,appartement,avant 1948,H1b,58034,,,1,1,Bois – Bûches,Électricité,Ventilation par ouverture des fenêtres,630.2,19,1803.7,422.5,2327.7,97.4,100
2248E2420266B,2022-10-13,dpe appartement individuel,D,appartement,1989-2000,H2d,48039,,,1,,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,290.6,11.1,351,235,621,21.5,
2221E2520113H,2022-10-26,dpe appartement généré à partir des données DPE immeuble,B,appartement,2001-2005,H1c,21515,,4,1,30,Réseau de Chauffage urbain,Électricité,VMC SF Hygro B de 2001 à 2012,73,4,200.8,78.9,361.5,52.9,1713.3
2291E3011160K,2022-12-12,dpe appartement généré à partir des données DPE immeuble,E,appartement,1948-1974,H1a,91235,T3,5,1,40,Gaz naturel,Électricité,VMC SF Auto réglable avant 1982,265.7,46.2,903.8,392.2,1461.8,75,2654
2234E2270310Z,2022-10-02,dpe appartement individuel,D,appartement,2013-2021,H3,34172,,,1,1,Gaz naturel,Gaz naturel,VMC SF Hygro B après 2012,148.3,31,691.3,177.4,999.1,71.6,
2271E1704996O,2022-07-26,dpe maison individuelle,G,maison,avant 1948,H1c,71438,,,1,,Électricité,Électricité,Ventilation par ouverture des fenêtres,557.3,22,3550.4,326.6,3901.8,82,
2245E2001091V,2022-09-05,dpe appartement individuel,D,appartement,avant 1948,H1b,45234,,3,1,,Gaz naturel,Gaz naturel,Ventilation par entrées d'air hautes et basses,204.7,43.3,418,144,630,27,
2283E2131453F,2022-09-18,dpe maison individuelle,E,maison,avant 1948,H3,83086,,,1,,Électricité,Électricité,Ventilation par ouverture des fenêtres,275,11,1669.1,298.3,1993.5,83.4,
2251E2050080G,2022-09-09,dpe maison individuelle,D,maison,1948-1974,H1b,51454,,,3,,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit,216.7,47.3,1545,142,1849,107.8,
2293E2625659N,2022-11-07,dpe appartement individuel,B,appartement,2006-2012,H1a,93064,,,1,,Électricité,Électricité,VMC SF Hygro B de 2001 à 2012,100.6,3.6,200,410,701,72.1,
2229E1843709B,2022-08-12,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H2a,29019,,4,1,27,Gaz naturel,Gaz naturel,VMC SF Auto réglable avant 1982,103.9,19,491.7,184.9,915.9,73.6,1881.4
2276E2716694F,2022-11-16,dpe appartement généré à partir des données DPE immeuble,D,appartement,1948-1974,H1a,76351,,5,1,30,Gaz naturel,Gaz naturel,VMC SF Hygro A après 2012,155.6,32,460,207.6,779.5,64,1920
2278E2770655S,2022-11-22,dpe appartement individuel,D,appartement,1948-1974,H1a,78311,,,1,1,Gaz naturel,Gaz naturel,Ventilation par ouverture des fenêtres,206.2,45,714.9,110,892.3,67.6,10240
2254E2654466Z,2022-11-09,dpe appartement généré à partir des données DPE immeuble,C,appartement,1989-2000,H1b,54274,,4,1,24,Gaz naturel,Gaz naturel,VMC SF Hygro A après 2012,130.6,26,349.1,163.5,606.5,40,1101
2295E2317239H,2022-10-06,dpe appartement généré à partir des données DPE immeuble,C,appartement,1989-2000,H1a,95388,T2,3,1,12,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,163.8,6.1,361.5,326.2,763.2,49,552
2238E2075718V,2022-09-12,dpe appartement individuel,C,appartement,1948-1974,H1c,38151,,,1,1,Gaz naturel,Gaz naturel,Ventilation par ouverture des fenêtres,128.8,27,737.1,188.7,1022.9,87.6,
2276E2088969Y,2022-09-13,dpe maison individuelle,G,maison,1948-1974,H1a,76681,,,2,,Fioul domestique,Fioul domestique,Ventilation par entrées d'air hautes et basses,334.4,105.2,3105,291,3584,114.7,
2260E1890267Y,2022-08-23,dpe appartement généré à partir des données DPE immeuble,C,appartement,1989-2000,H1a,60446,,4,1,21,Gaz naturel,Gaz naturel,VMC SF Hygro A avant 2001,107.4,20,403.3,189.5,763.3,60,1411.2
2275E1509805J,2022-07-02,dpe appartement individuel,F,appartement,avant 1948,H1a,75105,,,1,1,Gaz naturel,Gaz naturel,Ventilation par entrées d'air hautes et basses,399.6,88,1370.7,144.1,1618,50.9,
2285E1597701J,2022-07-12,dpe maison individuelle,C,maison,1989-2000,H2b,85191,,,2,,Gaz naturel,Gaz naturel,VMC SF Auto réglable après 2012,126.4,25,691.3,164,1046.4,85.6,
2277E1679127V,2022-07-22,dpe appartement généré à partir des données DPE immeuble,F,appartement,1948-1974,H1a,77186,,4,1,16,Gaz naturel,Gaz naturel,Ventilation par ouverture des fenêtres,356.2,79,1328.7,216.8,1617.6,54,962
2207E3115959X,2022-12-21,dpe appartement individuel,E,appartement,avant 1948,H2d,07010,,,1,1,Électricité,Électricité,VMC SF Auto réglable après 2012,287.1,11,758.4,263.1,1055.5,40.4,
2205E1786828K,2022-08-04,dpe appartement individuel,D,appartement,1989-2000,H1c,05061,,,2,1,Gaz naturel,Gaz naturel,VMC SF Auto réglable de 1982 à 2000,199.6,41,1014.3,182.7,1468,83,
2269E2884929N,2022-12-01,dpe appartement généré à partir des données DPE immeuble,D,appartement,1948-1974,H1c,69149,,6,1,158,Gaz naturel,Gaz naturel,VMC SF Auto réglable avant 1982,261,50,193.9,91.1,360.1,12,1884
2295E1884409Z,2022-08-19,dpe maison individuelle,D,maison,1983-1988,H1a,95127,,,3,,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,229.2,8.5,1384,388,1909,111.2,
2292E2514610J,2022-10-26,dpe appartement généré à partir des données DPE immeuble,E,appartement,1948-1974,H1a,92063,,5,1,16,Gaz naturel,Électricité,VMC SF Hygro A avant 2001,316.8,57,1134,411.4,1689,72.9,850.6
2267E3096805N,2022-12-12,dpe appartement individuel,D,appartement,1989-2000,H1b,67447,,1,1,1,Électricité,Électricité,VMC SF Hygro A avant 2001,239.8,9,708,306,1082,49.7,49.7
2289E3099482I,2022-12-20,dpe appartement généré à partir des données DPE immeuble,C,appartement,2006-2012,H1b,89387,,3,1,12,Gaz naturel,Gaz naturel,VMC SF Hygro B de 2001 à 2012,87.8,16,416.3,164.4,773.4,75.5,875.2
2293E2043314Q,2022-09-09,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1a,93049,,8,1,64,Réseau de Chauffage urbain,Réseau de Chauffage urbain,VMC SF Hygro B après 2012,109.6,21,364.7,134.5,686.2,69,4065
2227E2886172S,2022-12-01,dpe maison individuelle,D,maison,1948-1974,H1a,27151,,,2,,Gaz naturel,Gaz naturel,VMC SF Auto réglable après 2012,190.8,39.8,928,138,1268,74,
2262E1958437Y,2022-08-31,dpe maison individuelle,E,maison,avant 1948,H1a,62081,,,1,,Fioul domestique,Électricité,VMC Basse pression Auto-réglable,218.4,60,2656.6,327.4,3235.6,159.2,
2274E2742747E,2022-11-18,dpe appartement individuel,D,appartement,1989-2000,H1c,74010,,,1,1,Gaz naturel,Gaz naturel,VMC SF Auto réglable de 1982 à 2000,181.3,36,427,207.4,755,39.7,2132.2
2213E2529931P,2022-10-27,dpe maison individuelle,D,maison,1975-1977,H3,13082,,,2,,Fioul domestique,Électricité,Ventilation par ouverture des fenêtres,176.5,34,1873.6,422.9,2382.6,148,
2203E2069809F,2022-09-12,dpe appartement individuel,E,appartement,avant 1948,H1c,03254,,,1,1,Électricité,Électricité,Ventilation mécanique sur conduit existant avant 2013,329.8,13,567.8,164,780.7,25,
2266E2720881W,2022-11-16,dpe appartement individuel,C,appartement,1978-1982,H3,66136,,,1,,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,189.3,7,171,222,430,20,
2286E2886335G,2022-12-01,dpe appartement généré à partir des données DPE immeuble,C,appartement,avant 1948,H2b,86193,,2,1,5,Électricité,Électricité,Ventilation hybride après 2012,150.6,5,530.1,281.2,888,63.7,261
2271E2432595D,2022-10-18,dpe appartement généré à partir des données DPE immeuble,D,appartement,1975-1977,H1c,71014,,7,1,42,Réseau de Chauffage urbain,Gaz naturel,VMC SF Auto réglable avant 1982,201.8,26,849.3,67.8,1044.3,63,2702
2241E2817281P,2022-11-24,dpe appartement généré à partir des données DPE immeuble,D,appartement,1989-2000,H2b,41242,,5,1,25,Gaz naturel,Gaz naturel,Ventilation par entrées d'air hautes et basses,149,31,450.6,141.2,656.3,40,1440
2291E1802641X,2022-08-07,dpe appartement individuel,C,appartement,2006-2012,H1a,91103,,,1,1,Électricité,Électricité,VMC SF Hygro B de 2001 à 2012,110.5,4,311,345.6,781.1,69.2,
2206E2814272N,2022-11-15,dpe appartement individuel,E,appartement,avant 1948,H3,06088,,,1,,Électricité,Électricité,Ventilation par ouverture des fenêtres,315.6,12.5,1094,350,1461,52.3,
2243E2232615N,2022-09-28,dpe appartement généré à partir des données DPE immeuble,D,appartement,1948-1974,H1c,43012,,4,1,24,Gaz naturel,Électricité,VMC SF Auto réglable de 1982 à 2000,197.4,33,907.5,442.5,1602.2,75.6,1620
2277E1657533H,2022-07-20,dpe maison individuelle,C,maison,2013-2021,H1a,77464,,,2,,Gaz naturel,Gaz naturel,VMC DF sans échangeur après 2012,104.6,21,1114.8,159.7,1518.1,168,
2249E2727995V,2022-11-17,dpe appartement généré à partir des données DPE immeuble,D,appartement,1948-1974,H2b,49007,,6,1,72,Réseau de Chauffage urbain,Réseau de Chauffage urbain,Ventilation mécanique sur conduit existant avant 2013,193.4,3,540.5,180.2,843.3,54,5565
2244E2523618Z,2022-10-26,dpe maison individuelle,G,maison,avant 1948,H2b,44055,,,1,,Électricité,Électricité,Ventilation par ouverture des fenêtres,559,22,2837.5,254.1,3111.9,65,
2242E1652648B,2022-07-20,dpe appartement individuel,C,appartement,avant 1948,H1c,42218,,,1,,Électricité,Électricité,VMC SF Auto réglable après 2012,114,4.2,342,324,723,66,
2275E2749135X,2022-11-19,dpe appartement individuel,C,appartement,avant 1948,H1a,75116,,,1,1,Gaz naturel,Gaz naturel,Ventilation par ouverture des fenêtres,161.8,30,91.6,65.3,213.1,19.4,13526
2213E1910427N,2022-08-25,dpe appartement généré à partir des données DPE immeuble,C,appartement,1978-1982,H3,13208,T4,4,1,13,Électricité,Électricité,Ventilation hybride avant  2001,123.6,4.7,504.1,310.6,853,74,954
2269E2928812I,2022-09-28,dpe appartement individuel,F,appartement,1948-1974,H1c,69091,,,1,,Électricité,Électricité,Ventilation par ouverture des fenêtres,365.8,14.6,1024,256,1292,39.6,
2260E1916268Z,2022-08-25,dpe maison individuelle,D,maison,avant 1948,H1a,60612,,,1,,Gaz naturel,Électricité,VMC SF Auto réglable de 1982 à 2000,166.3,30,1927.4,471.4,2670.8,203,
2294E1867200B,2022-08-18,dpe maison individuelle,F,maison,avant 1948,H1a,94017,,,2,,Gaz naturel,Gaz naturel,Ventilation par ouverture des fenêtres,346.1,76,1834.5,143.3,2084.9,79.3,
2233E2801536S,2022-11-23,dpe appartement individuel,D,appartement,avant 1948,H2c,,,,1,1,Électricité,Électricité,VMC SF Auto réglable après 2012,230.8,9,671.1,256.9,966.7,45.7,
2276E3199688X,2022-10-04,dpe maison individuelle,D,maison,1948-1974,H1a,76575,,2,2,1,Gaz naturel,Gaz naturel,VMC SF Hygro A avant 2001,218.2,46,1286,173,1721,94,
2225E1727291H,2022-07-28,dpe maison individuelle,E,maison,1989-2000,H1c,25193,,,2,,Bois – Bûches,Électricité,VMC SF Hygro A avant 2001,260.5,8,1017.8,386.8,1511.6,98,
2212E1602814F,2022-07-13,dpe maison individuelle,F,maison,1948-1974,H2c,12076,,,1,,Bois – Bûches,Électricité,Ventilation par ouverture des fenêtres,361.6,45,1650,416.7,2171.6,98,
2249E2368164E,2022-10-12,dpe maison individuelle,D,maison,1948-1974,H2b,49328,,,2,,Bois – Granulés (pellets) ou briquettes,Électricité,VMC SF Auto réglable de 1982 à 2000,244.7,8,1808.7,387.5,2329.6,120.8,
2284E2850733W,2022-11-28,dpe appartement individuel,C,appartement,1948-1974,H2d,84106,,,1,1,Électricité,Électricité,Ventilation par ouverture des fenêtres,134.1,4,224.7,295.4,555.5,40.5,
2267E3098421R,2022-12-12,dpe appartement individuel,C,appartement,1989-2000,H1b,67519,,1,1,1,Gaz naturel,Gaz naturel,VMC SF Auto réglable de 1982 à 2000,126.8,24,679,441,1475,129.3,129.3
2293E2985699F,2022-12-09,dpe immeuble collectif,C,immeuble,1948-1974,H1a,93066,T4,5,,20,Réseau de Chauffage urbain,Réseau de Chauffage urbain,VMC Basse pression Hygro A,127.1,9.5,5577,3893,11188,,1034.6
2231E1919585L,2022-08-26,dpe maison individuelle,B,maison,2001-2005,H2c,31135,,,2,,Électricité,Électricité,VMC SF Hygro A de 2001 à 2012,92.9,3,540.2,575.5,1441.8,175,
2257E2861836W,2022-11-29,dpe appartement généré à partir des données DPE immeuble,E,appartement,1948-1974,H1b,57463,,15,1,70,Réseau de Chauffage urbain,Réseau de Chauffage urbain,VMC SF Auto réglable avant 1982,324.7,32,1330.3,217.6,1781.3,66,4671
2257E2561110M,2022-10-29,dpe appartement individuel,D,appartement,1948-1974,H1b,57240,,,1,1,Électricité,Électricité,Ventilation par ouverture des fenêtres,188.2,7,977.8,277.7,1279,76,
2278E2673648R,2022-11-11,dpe appartement généré à partir des données DPE immeuble,D,appartement,1948-1974,H1a,78621,,14,1,78,Gaz naturel,Gaz naturel,VMC SF Auto réglable après 2012,196.2,41,466.8,346.9,917.5,72,5525
2239E2500116W,2022-10-03,dpe appartement individuel,D,appartement,avant 1948,H1c,39547,,,1,4,Fioul domestique,Électricité,VMC SF Hygro A de 2001 à 2012,155.7,31.6,743,423,1326,89.3,258.7
2244E3112430P,2022-12-21,dpe appartement individuel,C,appartement,1983-1988,H2b,44109,,,1,1,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,163.6,6,642.8,357,1110.4,75,
2256E1734457C,2022-07-28,dpe maison individuelle,E,maison,avant 1948,H2a,56094,,,2,,Fioul domestique,Électricité,VMC SF Auto réglable de 2001 à 2012,243.5,52,2603.4,148.4,2998.2,160,
2273E3145391L,2022-12-25,dpe appartement individuel,E,appartement,2001-2005,H1c,73094,,,1,1,Électricité,Électricité,VMC SF Auto réglable de 2001 à 2012,324.2,12,638.4,337.8,1034.9,38.8,450
2233E3176866M,2022-12-28,dpe appartement généré à partir des données DPE immeuble,D,appartement,1948-1974,H2c,33318,,9,1,108,Réseau de Chauffage urbain,Gaz naturel,Ventilation naturelle par conduit avec entrées d'air hygro,184,40,587.5,205.1,844,53,7290
2268E2259660R,2022-09-30,dpe maison individuelle,C,maison,2013-2021,H1b,68135,,,2,,Électricité,Électricité,VMC DF individuelle avec échangeur à partir de 2013,135.8,5,1445.4,108.6,1680.4,141,
2251E2732173P,2022-11-17,dpe appartement individuel,E,appartement,avant 1948,H1b,51454,,,1,1,Électricité,Électricité,VMC SF Auto réglable après 2012,311.8,12,469.1,195,683.7,22.6,
2206E1573101E,2022-07-09,dpe appartement individuel,E,appartement,1978-1982,H3,06088,,,1,1,Gaz naturel,Gaz naturel,VMC SF Auto réglable avant 1982,255,52,608.3,83.8,877.6,49.3,3682
2227E2624890K,2022-11-07,dpe appartement individuel,D,appartement,1975-1977,H1a,27218,,3,3,17,Fioul domestique,Fioul domestique,VMC SF Auto réglable avant 1982,134.9,37,568,290,1152,84,1189
2213E1964132C,2022-08-30,dpe appartement individuel,B,appartement,1948-1974,H3,13205,,,1,,Électricité,Électricité,Ventilation par ouverture des fenêtres,99.5,3.7,328,313,665,68.3,
2277E2002811F,2022-09-05,dpe maison individuelle,F,maison,avant 1948,H1a,77183,,,1,,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit,396,87,1963.9,157,2236.8,75,
2289E2737721L,2022-11-18,dpe appartement individuel,D,appartement,avant 1948,H1b,89024,,,1,1,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,224.6,8,270.5,284.2,597.4,26.5,20.8
