numero_dpe,date_etablissement_dpe,methode_application_dpe,etiquette_dpe,type_batiment,periode_construction,zone_climatique,code_insee_ban,typologie_logement,nombre_niveau_immeuble,nombre_niveau_logement,nombre_appartement,type_energie_principale_chauffage,type_energie_principale_ecs,type_ventilation,conso_5_usages_par_m2_ep,emission_ges_5_usages_par_m2,cout_chauffage,cout_ecs,cout_total_5_usages,surface_habitable_logement,surface_habitable_immeuble
2159E0000226Z,2021-07-01,dpe appartement individuel,D,appartement,avant 1948,H1a,59350,,,1,1,Électricité,Non affecté,,243.1,7.7,452,245.1,753.6,,
2149E1037917U,2021-07-01,dpe appartement individuel,E,appartement,1948-1974,H2b,49007,,,2,5,Gaz naturel,Gaz naturel,VMC SF Hygro A avant 2001,254.5,52.8,373,106,594,29.1,153
2194E0134050K,2021-07-01,dpe appartement individuel,C,appartement,2006-2012,H1a,94028,,,3,,Électricité,Non affecté,,198.8,7.2,170,403,620,20.9,
2150E0743660G,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50591,,1,1,1,Électricité,Non affecté,,113.7,4,567,0,703,64,64
2101E0052133E,2021-07-01,dpe appartement individuel,E,appartement,2001-2005,H1c,01014,T1,1,1,1,Électricité,Électricité,VMC SF Hygro B de 2001 à 2012,306.8,12,1406,465,1953,53.8,53.8
2131E0168323E,2021-07-01,dpe appartement individuel,E,appartement,1978-1982,H2c,31467,,,1,,Électricité,Non affecté,,254.6,9.6,734,386,1440,50.3,
2167E0048306N,2021-07-01,dpe appartement individuel,D,appartement,1989-2000,H1b,67348,,,5,,Gaz naturel,Non affecté,,220.5,35.5,325,316,1052,30.6,
2150E0774674C,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50601,,1,1,1,Électricité,Non affecté,,199.7,6,742,111,1009,67,67
2167E1041164J,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H1b,67204,,,1,,Électricité,Électricité,Ventilation naturelle par conduit,229.1,9,1076,419,1518,75,
2150E0774553L,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,139.1,5,537,107,800,61,61
2150E0774562U,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,119.4,4,440,105,704,61,61
2187E0000650J,2021-07-01,dpe appartement individuel,E,appartement,1975-1977,H1c,87085,,,1,1,Électricité,Non affecté,,280.9,60.1,704.2,140.2,916.4,,
2113E0001506L,2021-07-01,dpe appartement individuel,B,appartement,avant 1948,H3,13213,,,1,1,Électricité,Non affecté,,73.1,2.3,612.1,376.9,1051.7,,
2149E0000679A,2021-07-01,dpe maison individuelle,E,maison,1978-1982,H2b,49331,,,1,,Électricité,Non affecté,,320.4,10.7,2769.1,271.3,3214.2,,
2174E0025818W,2021-07-01,dpe appartement individuel,D,appartement,1975-1977,H1c,74012,,,6,,Gaz naturel,Non affecté,,243.5,43.3,595,304,1261,40,
2150E0744347R,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50359,,1,1,1,Électricité,Non affecté,,144.4,5,439,93,664,47,47
2178E0046791R,2021-07-01,dpe maison individuelle,F,maison,1978-1982,H1a,78472,,,3,,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,342.9,11.4,4237,713,5142,155,
2127E0008095K,2021-07-01,dpe maison individuelle,C,maison,1983-1988,H1a,13117,,,2,,Électricité,Non affecté,,117.3,4.3,905,710,1827,156,
2132E0003980I,2021-07-01,dpe maison individuelle,G,maison,1948-1974,H2c,32119,,,1,,Fioul domestique,Non affecté,,326.9,101.3,2156,278,2619,85.6,
2150E0774433V,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50363,,1,1,1,Électricité,Non affecté,,133.2,5,707,121,989,81.1,81.1
2175E1043000H,2021-07-01,dpe appartement individuel,E,appartement,1948-1974,H1a,75110,,,7,,Électricité,Électricité,VMC SF Hygro A après 2012,324.5,12.7,644,262,930,31.1,
2129E0821598B,2021-07-01,dpe appartement individuel,C,appartement,1948-1974,H2a,29105,,,1,,Gaz naturel,Non affecté,,148.1,18.9,769,589,1576,78.2,
2133E0001988T,2021-07-01,dpe maison individuelle,C,maison,2013-2021,H2c,33324,,,1,,Électricité,Non affecté,,145.4,4.2,467.8,622.9,1177.1,,
2191E0001893I,2021-07-01,dpe maison individuelle,E,maison,1975-1977,H1a,91326,,,1,,Électricité,Non affecté,,275.5,60.7,3257.7,326.7,3806.7,,
2150E0774354U,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50591,,1,1,1,Électricité,Non affecté,,118.4,4,568,0,727,64,64
2165E0000017E,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H2c,65440,,,1,1,Électricité,Non affecté,,176.8,38.2,1353.9,206.9,1706.6,,
2175E0001965M,2021-07-01,dpe appartement individuel,G,appartement,avant 1948,H1a,75117,,,1,1,Électricité,Non affecté,,427.5,13.5,386.1,275.9,703.3,,
2150E1044149N,2021-07-01,dpe maison individuelle,C,maison,2001-2005,H2a,50109,,1,1,1,Électricité,Électricité,VMC SF Auto réglable de 2001 à 2012,116.5,4,486,93,739,66.2,
2114E0042503H,2021-07-01,dpe maison individuelle,F,maison,1978-1982,H1a,14514,,,2,,Électricité,Électricité,VMC SF Auto réglable avant 1982,361.5,11.9,3238,602,4015,115,
2154E0001171D,2021-07-01,dpe maison individuelle,F,maison,1948-1974,H1b,54038,,,1,,Électricité,Non affecté,,336.4,64,2725.2,620.8,3509,,
2131E0000906B,2021-07-01,dpe appartement individuel,C,appartement,1983-1988,H2c,31555,,,1,1,Électricité,Non affecté,,140.6,26.9,642.9,241.5,1129.5,,
2144E0070547B,2021-07-01,dpe maison individuelle,C,maison,2001-2005,H2b,44120,,,2,,Gaz naturel,Non affecté,,143.6,23.4,1085,311,1644,122,
2150E0745574W,2021-07-01,dpe maison individuelle,E,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,258,8,939,98,1172,61,61
2156E0070336K,2021-07-01,dpe appartement individuel,D,appartement,1989-2000,H2a,56121,,,1,,Gaz naturel,Non affecté,,195.1,39.7,719,227,1159,46,
2150E0892855N,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50363,,1,1,1,Électricité,Non affecté,,133.2,5,707,121,989,81.1,81.1
2167E0043592F,2021-07-01,dpe appartement individuel,C,appartement,1978-1982,H1b,67482,,,1,,Électricité,Non affecté,,139.7,5.4,344,153,573,26.7,
2150E0745719L,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50601,,1,1,1,Électricité,Non affecté,,198,7,726,94,948,52,52
2145E0000812Z,2021-07-01,dpe maison individuelle,D,maison,1989-2000,H1b,45145,,,1,,Électricité,Non affecté,,186.1,26.5,2614.3,586,3404.4,,
2150E0744524M,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50359,,1,1,1,Électricité,Non affecté,,143,5,434,93,660,47,47
2150E0739667R,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50365,,1,1,1,Électricité,Non affecté,,135.1,5,613,90,835,66.2,66.2
2117E0009883U,2021-07-01,dpe maison individuelle,C,maison,1948-1974,H2b,17344,,,2,,Électricité,Non affecté,,136.2,5.2,1398,512,2083,148.7,
2149E0022174T,2021-07-01,dpe maison individuelle,C,maison,1983-1988,H2b,49007,,,2,,Électricité,Non affecté,,151.7,5.6,1096,457,1720,108,
2144E0022620S,2021-07-01,dpe maison individuelle,E,maison,avant 1948,,44109,,3,3,1,Gaz naturel,Non affecté,,297.8,65.6,2459,319,2917,108.7,108.7
2129E0103610D,2021-07-01,dpe appartement individuel,D,appartement,2006-2012,,29241,,1,1,1,Électricité,Non affecté,,193.7,7.3,482,380,935,37.6,
2192E1037820S,2021-07-01,dpe appartement individuel,C,appartement,1989-2000,H1a,92035,,1,1,1,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,186.6,6,161,277,492,23.1,23.1
2168E0001873R,2021-07-01,dpe maison individuelle,F,maison,avant 1948,H1b,68201,,,1,,Électricité,Non affecté,,375.4,11.1,875.4,551.7,1494.3,,
2150E0893163J,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,119.4,4,440,105,704,61,61
2140E0175698E,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H2c,40133,,,2,,Gaz naturel,Non affecté,,212.9,31.9,3655,444,4392,210.1,
2131E1048099S,2021-07-01,dpe maison individuelle,E,maison,avant 1948,H2c,31573,,,2,,Bois – Bûches,Électricité,Ventilation par ouverture des fenêtres,279.4,8.7,1020,384,1473,114.5,
2144E0035521X,2021-07-01,dpe maison individuelle,E,maison,1989-2000,,44103,,2,2,1,Électricité,Non affecté,,253,8,462,270,850,33,33
2113E0010219O,2021-07-01,dpe appartement individuel,G,appartement,avant 1948,H3,13206,,,1,,Gaz naturel,Non affecté,,555.8,69.3,3957,368,4358,77.5,
2140E0025821R,2021-07-01,dpe appartement individuel,D,appartement,1975-1977,H2c,40065,,,1,,Électricité,Non affecté,,215.9,8.4,973,394,1498,57.5,
2172E0030988Q,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H2b,72181,,,2,,Gaz naturel,Non affecté,,169.1,34.3,1135,152,1520,82.6,
2177E0000002B,2021-07-01,dpe maison individuelle,C,maison,2001-2005,H1a,77407,,,1,,Électricité,Non affecté,,129,4.2,1201.1,160.7,1596.4,,
2180E0835084S,2021-07-01,dpe appartement individuel,E,appartement,avant 1948,,80021,,1,1,1,Électricité,Non affecté,,256.2,9,547,294,942,38,38
2192E0309193P,2021-07-01,dpe appartement individuel,E,appartement,1948-1974,H1a,92012,,,1,,Fioul domestique,Non affecté,,220.5,51,679,284,1669,70.2,
2150E0893351P,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50359,,1,1,1,Électricité,Non affecté,,182.2,5,440,92,687,47,47
2159E0000223W,2021-07-01,dpe appartement individuel,G,appartement,1948-1974,H1a,59606,,,1,1,Électricité,Non affecté,,437.7,86.6,1364,428.7,2240.7,,
2150E0743817H,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50363,,1,1,1,Électricité,Non affecté,,129.7,5,706,121,965,81.1,81.1
2150E0774376Q,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50359,,1,1,1,Électricité,Non affecté,,115.1,4,593,123,875,82,82
2134E0005326E,2021-07-01,dpe maison individuelle,D,maison,avant 1948,,34284,,3,3,1,Électricité,Non affecté,,207.4,6.9,3061,493,3761,185,185
2177E1040440X,2021-07-01,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1a,77464,T1,6,1,38,Gaz naturel,Gaz naturel,VMC SF Hygro B avant  2001,88.4,16.8,164.1,395.9,778.7,84.2,2391.6
2125E0001554T,2021-07-01,dpe maison individuelle,E,maison,1989-2000,H1c,25512,,,1,,Électricité,Non affecté,,68.3,8.1,1746.8,452.9,2326.6,,
2148E1018646O,2021-07-01,dpe maison individuelle,G,maison,avant 1948,H2d,48039,,,3,,Électricité,Électricité,Ventilation par ouverture des fenêtres,512.4,20.9,2572,267,2860,65,
2150E0774708K,2021-07-01,dpe maison individuelle,D,maison,2001-2005,,50603,,1,1,1,Électricité,Non affecté,,191.4,6,703,112,970,66.9,66.9
2150E0742779J,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50197,,1,1,1,Électricité,Non affecté,,130.1,5,524,110,767,62,62
2150E0892426A,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50197,,1,1,1,Électricité,Non affecté,,125.8,4,589,119,866,74,74
2147E0000151Q,2021-07-01,dpe maison individuelle,C,maison,avant 1948,H2c,47036,,,1,,Électricité,Non affecté,,154.6,4.9,1173.4,500.9,1778.3,,
2182E0008893F,2021-07-01,dpe maison individuelle,D,maison,1978-1982,H2c,82124,,,1,,Électricité,Non affecté,,187.8,7.3,1227,441,1825,87,
2127E0007760N,2021-07-01,dpe maison individuelle,F,maison,avant 1948,H1a,27422,,,2,,Fioul domestique,Non affecté,,260.4,81.5,4117,224,4580,189.5,
2149E0009934Z,2021-07-01,dpe maison individuelle,C,maison,avant 1948,H2b,49021,,,1,,Gaz naturel,Non affecté,,174.5,21.8,1929,574,2686,140,
2157E0741812L,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,5,5,50,Gaz naturel,Non affecté,,318.1,70.9,1094.7,222.3,1381.7,63,3060
2150E0774373N,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50359,,1,1,1,Électricité,Non affecté,,188.2,6,460,92,705,47,47
2157E0741648D,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,5,5,50,Gaz naturel,Non affecté,,318.1,70.9,1094.7,222.3,1381.7,63,3060
2193E0000033W,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H1a,93015,,,1,,Électricité,Non affecté,,193.8,6.4,2059.3,318.2,2432.2,,
2153E0017855U,2021-07-01,dpe maison individuelle,F,maison,1948-1974,,53048,,1,1,1,Électricité,Non affecté,,369.3,12.2,1732,357,2114,63,63
2149E0001398R,2021-07-01,dpe maison individuelle,C,maison,avant 1948,H2b,49222,,,1,,Électricité,Non affecté,,134.1,4.4,1582.9,180,1950.3,,
2189E0046362P,2021-07-01,dpe maison individuelle,E,maison,1948-1974,H1b,89179,,,3,,Fioul domestique,Non affecté,,185.1,57.9,4978,471,5720,334.9,
2169E0000774L,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H1c,69266,,,1,1,Électricité,Non affecté,,217.8,7.1,1249.9,458,1742,,
2125E0001845Y,2021-07-01,dpe appartement individuel,E,appartement,1948-1974,H1c,25243,,,1,1,Électricité,Non affecté,,286.1,9,715.3,511.9,1245.7,,
2134E0004249T,2021-07-01,dpe maison individuelle,D,maison,avant 1948,H3,34172,,,2,,Gaz naturel,Non affecté,,146.5,30.2,1078,183,1455,91.2,
2150E0745728U,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50601,,1,1,1,Électricité,Non affecté,,194.2,6,739,112,984,67,67
2176E0031648E,2021-07-01,dpe maison individuelle,F,maison,avant 1948,H1a,76057,,,2,,Électricité,Fioul domestique,Ventilation par entrées d'air hautes et basses,401.9,88,4439,391,4912,172,
2134E1025638Y,2021-07-01,dpe appartement individuel,D,appartement,avant 1948,H3,34052,,,2,,Électricité,Électricité,Ventilation par entrées d'air hautes et basses,190.2,7.5,800,278,1099,63.8,
2114E0040546A,2021-07-01,dpe maison individuelle,G,maison,avant 1948,H1a,14220,,,2,,Électricité,Électricité,Ventilation par ouverture des fenêtres,625.3,21,1980,227,2222,37.9,
2193E0001925Q,2021-07-01,dpe appartement individuel,E,appartement,avant 1948,H1a,93070,,,1,1,Électricité,Non affecté,,324.5,10.7,1314.6,265.6,1681.9,,
2159E1037450F,2021-07-01,dpe appartement individuel,F,appartement,avant 1948,H1a,59014,,,1,,Électricité,Électricité,Ventilation naturelle par conduit,581.5,22.8,459,207,670,11.8,
2160E0001577Z,2021-07-01,dpe maison individuelle,E,maison,1948-1974,H1a,60238,,,1,,Électricité,Non affecté,,255.1,55.9,1775.3,196.2,2104.9,,
2144E0766629L,2021-07-01,dpe maison individuelle,F,maison,1948-1974,,44109,,1,1,1,Électricité,Non affecté,,376.8,12,505,198,736,24.7,24.7
2150E0745584G,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,117.5,4,454,105,695,61,61
2150E0893175V,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,122.3,4,455,105,718,61,61
2150E0740166W,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50188,,1,1,1,Électricité,Non affecté,,115,4,491,92,718,64.9,64.9
2138E0001729Z,2021-07-01,dpe appartement individuel,C,appartement,1948-1974,H1c,38185,,,1,1,Électricité,Non affecté,,176.9,5.4,403.1,430.2,937,,
2150E0774236G,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50365,,1,1,1,Électricité,Non affecté,,118.1,3,475,100,739,79.1,79.1
2150E0774502M,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50639,,1,1,1,Électricité,Non affecté,,127.5,4,527,114,798,66.4,66.4
2150E0744500O,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50359,,1,1,1,Électricité,Non affecté,,143,5,434,93,660,47,47
2129E0266463S,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H2a,29105,,,1,,Gaz naturel,Non affecté,,219.5,34.3,1034,535,1768,64.7,
2182E0909953J,2021-07-01,dpe maison individuelle,G,maison,1948-1974,H2c,82121,,,1,,Électricité,Électricité,VMC SF Auto réglable avant 1982,446.4,18.1,3078,312,3512,92,
2157E0741660P,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,5,5,50,Gaz naturel,Non affecté,,318.1,70.9,1094.7,222.3,1381.7,63,3060
2150E0742775F,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50197,,1,1,1,Électricité,Non affecté,,140,5,576,108,816,62,62
2150E0893167N,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,119.4,4,440,105,704,61,61
2150E0745554C,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,119.2,4,340,92,569,47,47
2179E0010510H,2021-07-01,dpe maison individuelle,E,maison,1948-1974,H2b,79339,,,1,,Bois – Bûches,Non affecté,,328.6,12,1363,380,1956,64.6,
2161E0031276H,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H1a,61483,,,2,,Électricité,Non affecté,,257.6,9.2,157,506,715,21,
2133E0013726F,2021-07-01,dpe appartement individuel,D,appartement,avant 1948,H2c,33063,,,1,,Électricité,Non affecté,,204.3,8.1,1341,309,1733,74.2,
2177E1040443A,2021-07-01,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1a,77464,T1,6,1,38,Gaz naturel,Gaz naturel,VMC SF Hygro B avant  2001,88.4,16.8,135.4,326.7,642.7,69.5,2391.6
2117E0024568P,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H2b,17058,,,1,,Électricité,Non affecté,,217.9,8.5,1119,410,1596,62.2,
2151E0027267S,2021-07-01,dpe maison individuelle,D,maison,1948-1974,,51454,,2,2,1,Gaz naturel,Non affecté,,198.5,41.7,1676,179,2092,107.6,107.6
2101E0887140V,2021-07-01,dpe maison individuelle,E,maison,avant 1948,H1c,01058,,,3,,Électricité,Non affecté,,310.6,11.7,1563,301,1984,84,
2177E0001612Z,2021-07-01,dpe maison individuelle,D,maison,avant 1948,H1a,77079,,,1,,Électricité,Non affecté,,211.1,6.8,1092.7,489.4,1654.5,,
2149E0027528R,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H2b,49259,,,2,,Fioul domestique,Non affecté,,188.1,34.8,2041,592,2843,190,
2163E0025968F,2021-07-01,dpe appartement individuel,G,appartement,1948-1974,H1c,63113,,,3,,Gaz naturel,Non affecté,,454,101.3,2769,181,3049,75.2,
2106E0010127T,2021-07-01,dpe appartement individuel,C,appartement,1978-1982,H3,06083,,,8,,Électricité,Non affecté,,152.4,5.7,458,397,957,50,
2131E0001633A,2021-07-01,dpe appartement individuel,E,appartement,1948-1974,H2c,31555,,,1,1,Électricité,Non affecté,,231,50.1,1079.6,188.4,1370.1,,
2133E0024034R,2021-07-01,dpe maison individuelle,C,maison,avant 1948,,33378,,2,2,2,Électricité,Non affecté,,149.3,5.6,1705,459,2227,160,160
2145E1046818Z,2021-07-01,dpe appartement individuel,A,appartement,1989-2000,H1a,45338,,1,1,1,Électricité,Électricité,VMC DF collective avec échangeur à partir de 2013,68.1,2.6,239.6,119.1,449.3,59.5,334.1
2135E0000737S,2021-07-01,dpe appartement individuel,E,appartement,1975-1977,H2a,35238,,,1,1,Électricité,Non affecté,,252.5,7.6,456.4,348,1223.1,,
2167E0017554T,2021-07-01,dpe maison individuelle,G,maison,1948-1974,,67176,,2,2,1,Fioul domestique,Non affecté,,525,116.8,3817,355,4229,112.4,112.4
2179E1019563A,2021-07-01,dpe maison individuelle,F,maison,1948-1974,H2b,79191,,,1,,Électricité,Électricité,VMC SF Auto réglable de 2001 à 2012,410,71,1489,382,2063,63.6,
2154E0000255X,2021-07-01,dpe appartement individuel,E,appartement,avant 1948,H1b,54395,,,1,1,Électricité,Non affecté,,256,55.3,939,197,1228.4,,
2134E0001659D,2021-07-01,dpe appartement individuel,D,appartement,avant 1948,H3,34247,,,1,1,Électricité,Non affecté,,198.4,6.1,332.1,360.4,755,,
2150E0739986Y,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,C,appartement,1948-1974,,50592,,1,1,8,Électricité,Non affecté,,131.3,4.7,149.8,383.6,606.4,44,351.9
2181E0184603G,2021-07-01,dpe appartement individuel,E,appartement,1983-1988,H2c,81004,T1,1,1,1,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,289.5,11,1159,364,1614,51,51
2128E0094766Y,2021-07-01,dpe maison individuelle,E,maison,1948-1974,H1a,28127,,,1,,Électricité,Électricité,Ventilation par ouverture des fenêtres,56.5,1.7,379,55,695,120,
2129E0263751K,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H2a,29105,,,1,,Gaz naturel,Non affecté,,201.6,30.4,957,536,1692,65.7,
2154E0001145D,2021-07-01,dpe maison individuelle,F,maison,1948-1974,H1b,54038,,,1,,Électricité,Non affecté,,336.4,64,2725.2,620.8,3509,,
2182E0020954C,2021-07-01,dpe appartement individuel,C,appartement,avant 1948,H2c,82037,,,2,,Gaz naturel,Non affecté,,116.8,23.9,556,239,914,57.4,
2172E0018094S,2021-07-01,dpe maison individuelle,F,maison,avant 1948,H2b,72269,,,1,,Gaz naturel,Non affecté,,342.6,76.8,1585,176,1802,54.1,
2164E0001332S,2021-07-01,dpe maison individuelle,C,maison,1989-2000,H2c,64024,,,1,,Électricité,Non affecté,,154.5,4.8,827.3,287.1,1289.5,,
2169E0019906H,2021-07-01,dpe appartement individuel,E,appartement,1948-1974,H1c,38374,,,4,,Gaz naturel,Non affecté,,300.5,67.5,760,536,1317,31,
2134E0015404U,2021-07-01,dpe appartement individuel,D,appartement,avant 1948,H3,34095,,,2,,Électricité,Non affecté,,182.6,7.1,1029,428,1558,72.7,
2144E0100935V,2021-07-01,dpe appartement individuel,D,appartement,1989-2000,,44109,,1,1,1,GPL,Non affecté,,182.3,48.6,3064,407,3576,136.1,136.1
2106E0369340Q,2021-07-01,dpe maison individuelle,B,maison,1989-2000,H3,06920,T1,1,1,1,Gaz naturel,Non affecté,VMC SF Hygro A avant 2001,43.2,6,285,0,481,68,68
2131E1027960D,2021-07-01,dpe appartement individuel,C,appartement,avant 1948,H2c,31555,,,1,,Électricité,Électricité,Ventilation par ouverture des fenêtres,240.7,8.8,147,265,419,15.1,
2169E0143736Z,2021-07-01,dpe maison individuelle,C,maison,2006-2012,H1c,69387,,,2,,Électricité,Gaz naturel,VMC SF Hygro B de 2001 à 2012,66.9,0,512,138,801,95,
2127E0031248X,2021-07-01,dpe maison individuelle,G,maison,1948-1974,H1a,27230,,,3,,Fioul domestique,Non affecté,,415.1,101.2,3395,608,4058,99,
2106E0000657N,2021-07-01,dpe appartement individuel,D,appartement,2006-2012,H3,06029,,,1,1,Électricité,Non affecté,,228.3,7.3,559.2,216.1,842.7,,
2133E0001814B,2021-07-01,dpe appartement individuel,E,appartement,1978-1982,H2c,33167,,,1,1,Électricité,Non affecté,,257.3,8.4,1381.4,367.7,1828.5,,
2175E0000627A,2021-07-01,dpe appartement individuel,F,appartement,avant 1948,H1a,75116,,,1,1,Électricité,Non affecté,,364.3,78.6,3042,198.6,3593.2,,
2166E1048770W,2021-07-01,dpe appartement individuel,C,appartement,1989-2000,H3,66037,,,3,,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,142,5.2,300,329,756,55.9,
2180E0835021H,2021-07-01,dpe appartement individuel,F,appartement,avant 1948,,80021,,1,1,1,Électricité,Non affecté,,365.4,11,717,291,1111,39,39
2159E1038156J,2021-07-01,dpe appartement individuel,C,appartement,2006-2012,H1a,59606,,1,1,1,Réseau de Chauffage urbain,Réseau de Chauffage urbain,VMC SF Hygro B de 2001 à 2012,110,11,345,151,626,65,65
2114E0177965J,2021-07-01,dpe maison individuelle,G,maison,1948-1974,H1a,14715,,,2,,Électricité,Électricité,Ventilation par ouverture des fenêtres,433.1,127.6,4285,736,5138.1,128,
2131E0001318X,2021-07-01,dpe maison individuelle,B,maison,1989-2000,H2c,31011,,,1,,Électricité,Non affecté,,83.4,2.7,554.1,141.4,815,,
2169E0000997A,2021-07-01,dpe appartement individuel,E,appartement,avant 1948,H1c,69387,,,1,1,Électricité,Non affecté,,279.6,9.2,1788.7,406.2,2332.7,,
2150E0774528M,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50525,,1,1,1,Électricité,Non affecté,,144.3,5,659,116,931,70,70
2176E0183652M,2021-07-01,dpe maison individuelle,D,maison,avant 1948,H1a,76602,,,2,,Électricité,Non affecté,,181.5,6.8,2263,489,2818,183,
2121E0743830R,2021-07-01,dpe appartement individuel,F,appartement,1948-1974,H1c,21231,,,1,,Électricité,Non affecté,,396.5,15.8,1241,284,1561,44.6,
2150E0745333P,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50463,,1,1,1,Électricité,Non affecté,,128,5,543,113,790,65.2,65.2
2149E0000547Y,2021-07-01,dpe maison individuelle,D,maison,2001-2005,H2b,49377,,,1,,Électricité,Non affecté,,186.9,6,1089.9,495.9,1689,,
2157E0741473K,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,4,4,16,Gaz naturel,Non affecté,,374.6,83.9,1093.1,201.8,1343.6,52,904
2159E0000825A,2021-07-01,dpe appartement individuel,E,appartement,2001-2005,H1a,59606,,,1,1,Électricité,Non affecté,,252.8,8,703.6,399.1,1188.5,,
2144E0000142E,2021-07-01,dpe maison individuelle,B,maison,1989-2000,H2b,44038,,,1,,Électricité,Non affecté,,108.5,3.5,1066.8,145.5,1451.5,,
2144E0008833L,2021-07-01,dpe maison individuelle,E,maison,1948-1974,H2b,44109,,,2,,Gaz naturel,Non affecté,,256.2,48.8,2820,221,3257,131,
2175E0000199O,2021-07-01,dpe appartement individuel,G,appartement,avant 1948,H1a,75111,,,1,1,Électricité,Non affecté,,692.8,23.2,1983.4,295.9,2293.7,,
2157E0741373O,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,4,4,16,Gaz naturel,Non affecté,,374.6,83.9,1282.3,236.8,1576.2,61,904
2180E0834983V,2021-07-01,dpe appartement individuel,F,appartement,avant 1948,,80021,,1,1,1,Électricité,Non affecté,,391.2,12,316,267,634,19,19
2150E0740173D,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50188,,1,1,1,Électricité,Non affecté,,133.1,5,731,121,991,81.4,81.4
2164E0018097N,2021-07-01,dpe appartement individuel,C,appartement,1983-1988,H2c,64260,,,1,,Électricité,Non affecté,,156.4,6,1034,487,1756,100.2,
2169E0000176L,2021-07-01,dpe maison individuelle,C,maison,2006-2012,H1c,69163,,,1,,Électricité,Non affecté,,124.7,3.9,571.6,299.8,1047.3,,
2144E0001008M,2021-07-01,dpe maison individuelle,C,maison,2006-2012,H2b,44150,,,1,,Électricité,Non affecté,,142.7,27.9,846.2,230,1357.5,,
