numero_dpe,date_etablissement_dpe,methode_application_dpe,etiquette_dpe,type_batiment,periode_construction,zone_climatique,code_insee_ban,typologie_logement,nombre_niveau_immeuble,nombre_niveau_logement,nombre_appartement,type_energie_principale_chauffage,type_energie_principale_ecs,type_ventilation,conso_5_usages_par_m2_ep,emission_ges_5_usages_par_m2,cout_chauffage,cout_ecs,cout_total_5_usages,surface_habitable_logement,surface_habitable_immeuble
2177E1040426J,2021-07-01,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1a,77464,T1,6,1,38,Gaz naturel,Gaz naturel,VMC SF Hygro B avant  2001,88.4,16.8,135.5,326.8,642.9,69.5,2391.6
2103E0014744F,2021-07-01,dpe maison individuelle,G,maison,avant 1948,H1c,03185,,,2,,Gaz naturel,Non affecté,,435.6,87.9,2848,451,3435,85,
2150E0774551J,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,113.9,4,293,93,550,47,47
2150E0743523Z,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50237,,1,1,1,Électricité,Non affecté,,130.5,5,680,120,938,78,78
2151E0027250B,2021-07-01,dpe maison individuelle,G,maison,1948-1974,,51454,,1,1,1,Électricité,Non affecté,,450.6,14.7,1033,354,1460,31.2,31.2
2150E0893042S,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50237,,1,1,1,Électricité,Non affecté,,119.2,4,703,0,865,78,78
2150E0774232C,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50365,,1,1,1,Électricité,Non affecté,,110.4,4,448,93,703,65.8,65.8
2157E0741619A,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,5,5,50,Gaz naturel,Non affecté,,318.1,70.9,1094.7,222.3,1381.7,63,3060
2161E0031346Z,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H1a,61483,,,2,,Électricité,Non affecté,,257.7,9.2,158,506,716,21,
2134E0014354K,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H3,34022,,,2,,Électricité,Non affecté,,244.9,9.5,893,453,1441,47.7,
2157E0741634P,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,5,5,50,Gaz naturel,Non affecté,,318.1,70.9,1094.7,222.3,1381.7,63,3060
2157E0741884F,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,5,5,50,Gaz naturel,Non affecté,,318.1,70.9,1094.7,222.3,1381.7,63,3060
2150E0745726S,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50601,,1,1,1,Électricité,Non affecté,,194.2,6,739,112,984,67,67
2150E0739989B,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,C,appartement,1948-1974,,50592,,1,1,8,Électricité,Non affecté,,131.3,4.7,149.8,383.6,606.4,44,351.9
2140E0049112M,2021-07-01,dpe appartement individuel,C,appartement,2006-2012,H2c,40187,,,3,,Électricité,Non affecté,,177.1,6.7,542,395,1012,45.3,
2150E0774330W,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50237,,1,1,1,Électricité,Non affecté,,135.9,5,693,120,973,78,78
2177E0000614P,2021-07-01,dpe appartement individuel,E,appartement,1989-2000,H1a,77407,,,1,1,Électricité,Non affecté,,285,8.8,384.2,375.4,811.4,,
2147E1049150T,2021-07-01,dpe appartement individuel,C,appartement,avant 1948,H2c,,,,1,,Gaz naturel,Électricité,VMC SF Hygro A après 2012,201.4,21,153,271,513,15.9,
2150E0774413B,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50359,,1,1,1,Électricité,Non affecté,,119.5,4,461,113,733,64,64
2151E0027185O,2021-07-01,dpe maison individuelle,C,maison,après 2021,,51058,,1,1,1,Gaz naturel,Non affecté,,108,22.9,446,235,746,47.3,47.3
2102E0013465Z,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H1a,02172,,,1,,Gaz naturel,Non affecté,,208.7,35,1340,307,1697,99,
2163E0023542X,2021-07-01,dpe maison individuelle,C,maison,2006-2012,,63113,,1,1,1,Gaz naturel,Non affecté,,117.9,22.9,540,271,997,62.8,62.8
2124E0000889D,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H2c,24372,,,1,,Électricité,Non affecté,,231.8,48.5,1664.4,185.4,2148.4,,
2130E0007107N,2021-07-01,dpe maison individuelle,F,maison,1948-1974,,30007,,1,1,1,Gaz naturel,Non affecté,,276.3,60.6,1093,347,1514,53.4,53.4
2128E0050032K,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H1a,28085,,,1,1,Électricité,Gaz naturel,VMC SF Auto réglable avant 1982,171.5,34.3,537,432,1132,45.2,1400
2135E0024793Y,2021-07-01,dpe appartement individuel,B,appartement,avant 1948,H2a,35115,,,4,,Électricité,Non affecté,,91.4,3.5,499,311,896,75.9,
2178E0000976O,2021-07-01,dpe appartement individuel,D,appartement,avant 1948,H1a,78551,,,1,1,Électricité,Non affecté,,217.8,6.8,461.6,404.4,915.9,,
2161E0030736N,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H1a,61483,,,2,,Électricité,Non affecté,,264.3,9.6,227,499,782,23,
2150E0745581D,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,114.6,4,439,106,681,61,61
2150E0774567Z,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,130.9,4,268,94,528,47,47
2149E1037919W,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H2b,49007,,,2,5,Gaz naturel,Gaz naturel,VMC SF Auto réglable de 1982 à 2000,201.5,40.9,353,124,616,36.6,153
2109E0012411S,2021-07-01,dpe maison individuelle,F,maison,1948-1974,H2c,09273,,,2,,Gaz naturel,Non affecté,,415.8,81,2082,219,2424,71,
